"example-numCases";"example-numValues";"example-value";"example-index";"ProfileInternalColumnName";"ProfileSourceAttributeName";"ProfileInputName";"domainAnalyse-name";"rollup_SourceAttributeName";"rollup_column";"rollup_name";"rollup_value"
1;1;"18";0;"S_0";"RecID";"in";"enum";"GD";"S_2";"ru_RollupOnGD";"f"
1;1;"34";1;"S_0";"RecID";"in";"enum";"GD";"S_2";"ru_RollupOnGD";"f"
1;1;"35";2;"S_0";"RecID";"in";"enum";"GD";"S_2";"ru_RollupOnGD";"f"
1;1;"36";3;"S_0";"RecID";"in";"enum";"GD";"S_2";"ru_RollupOnGD";"f"
1;1;"39";4;"S_0";"RecID";"in";"enum";"GD";"S_2";"ru_RollupOnGD";"f"
1;1;"41";5;"S_0";"RecID";"in";"enum";"GD";"S_2";"ru_RollupOnGD";"f"
1;1;"91";6;"S_0";"RecID";"in";"enum";"GD";"S_2";"ru_RollupOnGD";"f"
1;1;"Aguila Ammie";0;"S_1";"FullName";"in";"enum";"GD";"S_2";"ru_RollupOnGD";"f"
1;1;"Aleshia Kaszton";1;"S_1";"FullName";"in";"enum";"GD";"S_2";"ru_RollupOnGD";"f"
1;1;"Carline McPheron";2;"S_1";"FullName";"in";"enum";"GD";"S_2";"ru_RollupOnGD";"f"
1;1;"Condell Leandra";3;"S_1";"FullName";"in";"enum";"GD";"S_2";"ru_RollupOnGD";"f"
1;1;"Dirkse Jazmine";4;"S_1";"FullName";"in";"enum";"GD";"S_2";"ru_RollupOnGD";"f"
1;1;"Magill Melodie";5;"S_1";"FullName";"in";"enum";"GD";"S_2";"ru_RollupOnGD";"f"
1;1;"Tryninewski Honey";6;"S_1";"FullName";"in";"enum";"GD";"S_2";"ru_RollupOnGD";"f"
1;1;"1949-03-13";0;"S_3";"CalculatedDate";"in";"enum";"GD";"S_2";"ru_RollupOnGD";"f"
1;1;"1949-03-29";1;"S_3";"CalculatedDate";"in";"enum";"GD";"S_2";"ru_RollupOnGD";"f"
1;1;"1958-02-01";2;"S_3";"CalculatedDate";"in";"enum";"GD";"S_2";"ru_RollupOnGD";"f"
1;1;"1963-03-13";3;"S_3";"CalculatedDate";"in";"enum";"GD";"S_2";"ru_RollupOnGD";"f"
1;1;"1968-12-10";4;"S_3";"CalculatedDate";"in";"enum";"GD";"S_2";"ru_RollupOnGD";"f"
1;1;"1978-07-20";5;"S_3";"CalculatedDate";"in";"enum";"GD";"S_2";"ru_RollupOnGD";"f"
1;1;"N/A";6;"S_3";"CalculatedDate";"in";"enum";"GD";"S_2";"ru_RollupOnGD";"f"
1;1;"1949-03-14";0;"S_4";"BirthDate";"in";"enum";"GD";"S_2";"ru_RollupOnGD";"f"
1;1;"1949-03-30";1;"S_4";"BirthDate";"in";"enum";"GD";"S_2";"ru_RollupOnGD";"f"
1;1;"1958-02-00";2;"S_4";"BirthDate";"in";"enum";"GD";"S_2";"ru_RollupOnGD";"f"
1;1;"1963-03-14";3;"S_4";"BirthDate";"in";"enum";"GD";"S_2";"ru_RollupOnGD";"f"
